id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan
2930383,10156773,49 Killarney Avenue,Blacktown,2148,NSW,-33.769770,150.888683,house,600,2,2,2,true
3013323,10158952,221 Richmond Road,Marayong,2148,NSW,-33.751865,150.887450,land,708,0,0,0,true
124458,10170724,13 Harrow Street,Marayong,2148,NSW,-33.751279,150.886742,house,,2,2,1,true
4086413,10266221,15 Hollydale Place,Prospect,2148,NSW,-33.794459,150.920362,house,707,2,2,2,true
2926975,10290547,42 Terrigal Street,Marayong,2148,NSW,-33.747015,150.885657,house,1012,2,2,5,true
4086353,10294213,33 Bromfield Avenue,Prospect,2148,NSW,-33.797732,150.925791,house,696,1,1,2,true
305417,10295745,14 Monash Road,Blacktown,2148,NSW,-33.772273,150.889613,house,607,1,1,4,true
68321,10302061,3 Finlay Street,Blacktown,2148,NSW,-33.783590,150.912746,house,556,1,1,1,false
3151373,10316789,223 Vardys Road,Blacktown,2148,NSW,-33.750277,150.924592,house,822,2,2,0,false
1326498,10343065,37/42 Patricia Street,Blacktown,2148,NSW,-33.793391,150.902338,house,,2,2,1,false
2321865,10349439,69 Harold Street,Blacktown,2148,NSW,-33.762623,150.917554,house,,2,2,1,true
1778403,10357394,1905/1 Boys Avenue,Blacktown,2148,NSW,-33.766815,150.909564,unit,,2,2,1,false
68308,10361988,2 Railway Parade,Blacktown,2148,NSW,-33.766482,150.893115,house,902,2,2,5,false
68292,10363948,21 Newman Street,Blacktown,2148,NSW,-33.775238,150.897616,house,765,2,2,2,true
1271390,10370170,54 Killarney Avenue,Blacktown,2148,NSW,-33.770358,150.889324,house,581,1,1,1,false
4092544,10370327,48 Kastelan Street,Blacktown,2148,NSW,-33.777678,150.887978,house,,1,1,1,false
3859755,10438280,7 Jennifer Avenue,Blacktown,2148,NSW,-33.774460,150.889720,house,323,1,1,1,true
868688,10438804,19 McClean Street,Blacktown,2148,NSW,-33.758447,150.886863,house,,1,1,3,true
816367,10470154,8 Ash St,Blacktown,2148,NSW,-33.767280,150.887970,other,189,1,1,1,true
1164257,10497876,45/13-19 Devitt Street,Blacktown,2148,NSW,-33.770924,150.915010,unit,,1,1,1,true
553273,10501383,30  Jill Street,Marayong,2148,NSW,-33.754665,150.891900,house,,2,2,3,true
28725,10510214,181 Madagascar Drive,Kings Park,2148,NSW,-33.738475,150.911142,house,,3,3,2,true
4148058,10521023,11 Mariko Place,Blacktown,2148,NSW,-33.786694,150.884690,house,,2,2,2,false
3327305,10524017,21 Myrtle Street,Prospect,2148,NSW,-33.795025,150.906880,house,558,2,2,1,true
734165,10538894,3/29 Norfolk Street,Blacktown,2148,NSW,-33.764890,150.897140,unit,,2,2,2,true
2488812,10543656,18 Blue Hills Crescent,Blacktown,2148,NSW,-33.771065,150.894470,house,,2,2,3,false
4107049,10556578,21B Arnott Road,Marayong,2148,NSW,-33.739243,150.895690,house,,1,1,1,true
68418,10582051,41A Matthew Crescent,Blacktown,2148,NSW,-33.779915,150.897890,house,,2,2,2,true
2744879,10589182,6 Vernon Street,Marayong,2148,NSW,-33.756620,150.898448,house,575,1,1,1,true
528730,10621694,25/177 Reservoir Road,Blacktown,2148,NSW,-33.796900,150.898580,unit,,1,1,1,true
1153625,10670582,29 Harrod Street,Prospect,2148,NSW,-33.797821,150.914003,house,558,1,1,1,true
68500,10699609,26 Tallawong Avenue,Blacktown,2148,NSW,-33.776500,150.884100,other,,3,3,2,true
3701420,10699615,19/12 Sinclair Avenue,Blacktown,2148,NSW,-33.781001,150.915648,unit,264,2,2,1,true
68368,10717501,3/12 Dudley Avenue,Blacktown,2148,NSW,-33.768591,150.893924,house,,2,2,2,true
68272,10717858,72a/177A Reservoir Road,Blacktown,2148,NSW,-33.797414,150.899928,unit,,2,2,3,true
3682604,10727085,8 Wake Place,Kings Park,2148,NSW,-33.740450,150.912300,house,,2,2,2,true
2438806,10747177,12 Alam Street,Blacktown,2148,NSW,-33.760693,150.895029,house,,1,1,1,false
2993803,10757604,50 Anthony Street,Blacktown,2148,NSW,-33.750781,150.921794,house,479,2,2,0,true
68364,10768099,"62 Tallawong Ave,",Blacktown,2148,NSW,-33.779209,150.882225,house,556,1,1,2,true
385850,10768513,26 West Street,Blacktown,2148,NSW,-33.779880,150.908000,house,,2,2,2,false
802156,10773239,251 Madagascar Drive,Kings Park,2148,NSW,-33.743195,150.914230,house,749,1,1,2,true
3014018,10783020,6/201 Stephen Street,Blacktown,2148,NSW,-33.767470,150.919169,unit,,1,1,1,true
68345,10784175,113 Killarney Avenue,Blacktown,2148,NSW,-33.773420,150.890900,house,,1,1,2,false
3267132,10805351,1/1 Boyd Street,Blacktown,2148,NSW,-33.771460,150.915880,unit,,1,1,1,true
3192570,10815547,20 Lombard Place,Prospect,2148,NSW,-33.796986,150.923450,house,,3,3,4,false
4158910,10833701,1b Bristol Circuit,Blacktown,2148,NSW,-33.786359,150.892896,house,481,1,1,1,true
2930382,10849343,27 Craiglea Street,Blacktown,2148,NSW,-33.777056,150.912340,house,556,1,1,1,true
4091644,10923466,302/1 Griffiths Street,Blacktown,2148,NSW,-33.773622,150.915568,unit,,1,1,1,false
525786,10928755,49 Crudge Road,Marayong,2148,NSW,-33.752340,150.896176,house,543,2,2,3,true
4108695,10937017,107 Stephen Street,Blacktown,2148,NSW,-33.761530,150.920270,house,746,1,1,1,true
68384,10976358,8 Monash Road,Blacktown,2148,NSW,-33.772340,150.890100,house,,1,1,5,true
3340452,10984197,34 Archer Street,Blacktown,2148,NSW,-33.784851,150.896489,house,556,1,1,1,true
1805518,10990833,33 Duckmallois Avenue,Blacktown,2148,NSW,-33.782178,150.909472,house,645,2,2,2,true
2438768,11020095,7/34-36 Carinya Street,Blacktown,2148,NSW,-33.772149,150.901969,unit,,2,2,2,true
3664603,11070046,2 Saxby Way,Blacktown,2148,NSW,-33.782420,150.881420,house,,1,1,1,true
4111592,11088649,38  Dagmar Crescent,Blacktown,2148,NSW,-33.778540,150.897190,house,558,1,1,0,false
4171433,11134884,8 Meela Street,Blacktown,2148,NSW,-33.776524,150.887660,house,556,1,1,2,true
68395,11139875,7 Valentine Street,Blacktown,2148,NSW,-33.783870,150.905481,house,,1,1,1,true
