,ID,Street_Name
209,2270428,7-25-27-fourth----avenue-Blacktown-NSW-2148
210,4170990,57-knight-avenue-Kings-Langley-NSW-2147
211,1277629,1-4-nolan-place-Seven-Hills-NSW-2147
212,3608243,1-gloucester-avenue-North-Parramatta-NSW-2151
213,4068693,21---23-grose-street-Parramatta-NSW-2150
214,35637,3-140-good-street-Harris-Park-NSW-2150
215,1743759,10-harvey-place-Toongabbie-NSW-2146
216,1000821,8b-campbell-street-Northmead-NSW-2152
217,2952529,19-1-myrtle-street-Prospect-NSW-2148
218,68462,62-western-crescent-Blacktown-NSW-2148
219,378946,3-alison-street-Seven-Hills-NSW-2147
220,3964096,6-nerada-street-Blacktown-NSW-2148
221,3271357,36-marnpar-road-Seven-Hills-NSW-2147
222,3964120,4-mary-street-Blacktown-NSW-2148
223,2438365,93-20-victoria-road-Parramatta-NSW-2150
224,524334,12-81-metella-road-Toongabbie-NSW-2146
225,4171408,25-24-28-briens-road-Northmead-NSW-2152
226,51125,64-8-18-briens-road-Northmead-NSW-2152
227,123972,1-meckiff-avenue-North-Rocks-NSW-2151
228,408150,5-89-hammers-road-Northmead-NSW-2152
229,2316300,90-lucas-road-Seven-Hills-NSW-2147
230,2767404,27-lamonerie--street-Toongabbie-NSW-2146
231,4169258,36a-toongabbie-road-Toongabbie-NSW-2146
232,487083,2-cartwright-crescent-Lalor-Park-NSW-2147
233,3340471,79-joseph-street-Blacktown-NSW-2148
234,974895,44-derwent-parade-Blacktown-NSW-2148
235,68513,7-272-flushcombe-road-Blacktown-NSW-2148
236,2104410,13-235-241-windsor-road-Northmead-NSW-2152
237,1885279,50-whitby-road-Kings-Langley-NSW-2147
238,1663418,115-davis-road-Marayong-NSW-2148
239,1461474,5-may-walk-Lalor-Park-NSW-2147
240,4088858,6-blain-street-Toongabbie-NSW-2146
241,216225,52-wall-park-avenue-Seven-Hills-NSW-2147
242,3070327,3-harpur-place-Lalor-Park-NSW-2147
243,128550,46a-scott-street-Toongabbie-NSW-2146
244,2238936,88a-isabella-street-North-Parramatta-NSW-2151
245,223825,2112-45-macquarie-street-Parramatta-NSW-2150
246,3607734,36-orleans-crescent-Toongabbie-NSW-2146
247,1837836,27-marsden-street-Parramatta-NSW-2150
248,2628515,4-2-wentworth-avenue-Toongabbie-NSW-2146
249,3192346,7-20-pitt-street-Parramatta-NSW-2150
250,4124996,8-28-32-pennant-hills-road-North-Parramatta-NSW-2151
251,591706,45-duckmallois-avenue-Blacktown-NSW-2148
252,2763693,9-49-weston-street-Harris-Park-NSW-2150
253,2993854,23-essence-glade-Blacktown-NSW-2148
254,324077,3-jean-street-North-Rocks-NSW-2151
255,446435,4-gardenset-grove-Blacktown-NSW-2148
256,3108085,9-68-macarthur-street-Parramatta-NSW-2150
257,2313933,15-quakers-road-Marayong-NSW-2148
258,4174965,903-8-river-road-west-Parramatta-NSW-2150
259,4072494,2-18-sydney-street-Blacktown-NSW-2148
260,2017878,164-lucretia-road-Seven-Hills-NSW-2147
261,4088666,4-iwunda-road-Lalor-Park-NSW-2147
262,2889279,8-6-dallas-place-Toongabbie-NSW-2146
263,1917431,25-24-campbell-street-Parramatta-NSW-2150
264,1209256,74-kleins-road-Northmead-NSW-2152
265,1000822,7-211-old-windsor-road-Northmead-NSW-2152
266,124450,11-junee-street-Marayong-NSW-2148
267,1306988,27-23-brickfield-street-North-Parramatta-NSW-2151
268,2464399,3-30-34-redbank-road-Northmead-NSW-2152
269,4149616,55-brabyn-street-North-Parramatta-NSW-2151
270,2513891,49-26-30-hassall-street-Parramatta-NSW-2150
271,4071304,4-melody-street-Toongabbie-NSW-2146
272,3125971,9-7-margaret-street-Northmead-NSW-2152
273,1828730,103-1-griffiths-street-Blacktown-NSW-2148
274,2021528,81b-newton-road-Blacktown-NSW-2148
275,2344213,23-balmoral-road-Northmead-NSW-2152
276,524332,36-the-crescent-Toongabbie-NSW-2146
277,515686,902-6-10-charles-street-Parramatta-NSW-2150
278,1456833,94-cornelia-road-Toongabbie-NSW-2146
279,2296190,17-kent-street-Blacktown-NSW-2148
280,3949362,5-133-toongabbie-road-Toongabbie-NSW-2146
281,3100741,3-6-8-gladstone-street-North-Parramatta-NSW-2151
282,37141,318-seven-hills-road-Kings-Langley-NSW-2147
283,68542,37-16-oxford-street-Blacktown-NSW-2148
284,222474,50-witney-street-Prospect-NSW-2148
285,4150287,45-mill-drive-North-Rocks-NSW-2151
286,4147624,10-wattle-street-Blacktown-NSW-2148
287,2584646,15-tyne-place-Prospect-NSW-2148
288,1233297,6-burrell-parade-Blacktown-NSW-2148
289,1495440,33-burke-road-Lalor-Park-NSW-2147
290,124447,7-arjez-place-Marayong-NSW-2148
291,68424,33-allen-road-Blacktown-NSW-2148
292,193709,4-518-church-street-North-Parramatta-NSW-2151
293,2904942,10-stainsby-avenue-Kings-Langley-NSW-2147
294,4105852,3-38-sorrell-street-North-Parramatta-NSW-2151
295,1174252,3501-330-church-street-Parramatta-NSW-2150
296,1483246,6-scott-street-Toongabbie-NSW-2146
297,305419,13-3-bruce-street-Blacktown-NSW-2148
298,193747,1-75-77-grose-street-North-Parramatta-NSW-2151
299,3981134,9-12-bellevue-street-North-Parramatta-NSW-2151
300,2265610,1-jura-place-Seven-Hills-NSW-2147
301,2985529,3-1a-paula-street-Marayong-NSW-2148
302,3540850,30-shanke-crescent-Kings-Langley-NSW-2147
303,3472368,9-ruby-place-Seven-Hills-NSW-2147
304,216242,11-haynes-avenue-Seven-Hills-NSW-2147
305,1495443,130-frederick-street-Lalor-Park-NSW-2147
306,4077250,30-jean-street-Seven-Hills-NSW-2147
307,3883794,78-greenmeadows-crescent-Toongabbie-NSW-2146
308,3703338,210-north-rocks-road-North-Rocks-NSW-2151
309,1389690,17-hawkesworth-parade-Kings-Langley-NSW-2147
310,1941346,44-duckmallois-avenue-Blacktown-NSW-2148
311,3684641,2202-45-macquarie-street-Parramatta-NSW-2150
312,3355720,7-bromfield-avenue-Prospect-NSW-2148
313,4072496,37-wilga-street-Blacktown-NSW-2148
314,3108084,1-5-henry-street-Parramatta-NSW-2150
315,37134,27-capricorn-road-Kings-Langley-NSW-2147
316,4115964,234b-north-rocks-road-North-Rocks-NSW-2151
317,3879824,20-21-23-grose-street-Parramatta-NSW-2150
318,1951745,86-bellevue-street-North-Parramatta-NSW-2151
319,223908,18-93-95-thomas-street-Parramatta-NSW-2150
320,3088787,4-perry-street-Kings-Langley-NSW-2147
321,123975,18-ebony-avenue-North-Rocks-NSW-2151
322,1568828,29-mcclean-street-Blacktown-NSW-2148
323,1352561,12-9-13-griffiths-street-Blacktown-NSW-2148
