id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,floorplan
528730,10621694,25/177 Reservoir Road,Blacktown,2148,NSW,-33.7969,150.89858,unit,,TRUE
535888,5341234,22 Andaman Street,Kings Park,2148,NSW,-33.738632,150.905387,house,557,TRUE
546119,8647492,9/175 Reservoir Road,Blacktown,2148,NSW,-33.79835,150.899339,unit,,TRUE
553273,10501383,30  Jill Street,Marayong,2148,NSW,-33.754665,150.8919,house,,TRUE
570900,12397787,12 Hawkins Street,Blacktown,2148,NSW,-33.78513,150.91892,house,,TRUE
570936,797572,25-27 Fourth Ave,Blacktown,2148,NSW,-33.76385,150.91026,unit,,FALSE
591706,2390269,45 Duckmallois Ave,Blacktown,2148,NSW,-33.783071,150.909404,house,561,FALSE
591707,466822,2 Vincent Street,Blacktown,2148,NSW,-33.778378,150.895488,house,,TRUE
657857,3523223,32 Farmingdale Drive,Blacktown,2148,NSW,-33.792071,150.899994,house,505,FALSE
689227,12452317,203 Richmond Road,Marayong,2148,NSW,-33.752813,150.88876,land,,TRUE
710844,3480874,10 Wilga Street,Blacktown,2148,NSW,-33.77915,150.883546,house,,FALSE
734165,10538894,3/29 Norfolk Street,Blacktown,2148,NSW,-33.76489,150.89714,unit,,TRUE
754099,805520,24 Kurrajong Crescent,Blacktown,2148,NSW,-33.789187,150.901103,house,556,TRUE
754117,3082096,22 Jones Street,Blacktown,2148,NSW,-33.783006,150.911341,house,556,TRUE
802156,10773239,251 Madagascar Drive,Kings Park,2148,NSW,-33.743195,150.91423,house,749,TRUE
816333,7814570,3/25-27 Fourth Ave,Blacktown,2148,NSW,-33.763852,150.91026,unit,,TRUE
816347,10001351,89/21-29 Third Avenue,Blacktown,2148,NSW,-33.765008,150.910125,unit,,TRUE
816367,10470154,8 Ash St,Blacktown,2148,NSW,-33.76728,150.88797,other,189,TRUE
848353,214398,16/26 Mantaka Street,Blacktown,2148,NSW,-33.773676,150.917647,unit,,TRUE
861871,12601190,4 Canton Street,Kings Park,2148,NSW,-33.739305,150.903928,house,567,TRUE
864184,7643092,25 Hampton Crescent,Prospect,2148,NSW,-33.800762,150.915713,house,557,TRUE
